,nom_commune_postal,code_postal,latitude,longitude,code_departement,score
31640,LE CHESNAY,78150,48.8272397742,2.13014908209,78,1
31641,CHEVREUSE,78460,48.707150143,2.03714431459,78,0
31642,CHOISEL,78460,48.6739368242,2.01450641994,78,0
31643,CIVRY LA FORET,78910,48.8642006092,1.61682938801,78,0
31644,CLAIREFONTAINE EN YVELINES,78120,48.6167741818,1.90638035997,78,0
31645,LES CLAYES SOUS BOIS,78340,48.8186406601,1.9840595554,78,0
31646,COIGNIERES,78310,48.7497670046,1.91381870273,78,0
31647,CONDE SUR VESGRE,78113,48.7324954071,1.67372721841,78,0
31648,CONFLANS STE HONORINE,78700,49.0001007823,2.0990719052,78,0
31649,COURGENT,78790,48.8957168468,1.65941323514,78,0
31650,CRAVENT,78270,48.9895744703,1.48459959094,78,0
31651,CRESPIERES,78121,48.8822021619,1.921122695,78,0
31652,CROISSY SUR SEINE,78290,48.8787825592,2.13541164589,78,0
31653,DAMMARTIN EN SERVE,78111,48.9114065992,1.61781290103,78,0
31654,DAMPIERRE EN YVELINES,78720,48.7037164037,1.97307941128,78,0
31655,DANNEMARIE,78550,48.7639707435,1.60896965722,78,0
31656,DAVRON,78810,48.8636419011,1.94749093682,78,0
31657,DROCOURT,78440,49.0519623345,1.76822079992,78,1
31658,ECQUEVILLY,78920,48.9459356042,1.92004051912,78,1
31659,ELANCOURT,78990,48.7781596518,1.96049898519,78,1
31660,EMANCE,78125,48.5912443616,1.73390174623,78,0
31661,EPONE,78680,48.9471759683,1.81269584925,78,0
31662,LES ESSARTS LE ROI,78690,48.716019265,1.8952517006,78,0
31663,L ETANG LA VILLE,78620,48.8674116059,2.06048754387,78,1
31664,EVECQUEMONT,78740,49.0172176913,1.94219313244,78,1
31665,LA FALAISE,78410,48.9369496827,1.82537874212,78,0
31666,FAVRIEUX,78200,48.9448446994,1.64166996008,78,0
31667,FEUCHEROLLES,78810,48.8800880696,1.97983777956,78,0
31668,FLACOURT,78200,48.9323338229,1.64260422917,78,1
31669,FLEXANVILLE,78910,48.8551084372,1.74312032703,78,1
31670,FLINS NEUVE EGLISE,78790,48.8927473667,1.57663299283,78,0
31671,FLINS SUR SEINE,78410,48.9673692016,1.87272187331,78,0
31672,FOLLAINVILLE DENNEMONT,78520,49.0229954846,1.70861078904,78,1
